series,p,d,q,aic,bic
SGD_per_USD,0,1,0,-32659.3581002559,-32653.02194943978
SGD_per_USD,0,1,1,-32650.398139504247,-32637.726317315854
SGD_per_USD,0,1,2,-32645.629575164716,-32626.622561220338
SGD_per_USD,1,1,0,-32658.896568038406,-32646.224266406163
SGD_per_USD,1,1,1,-32648.745993644894,-32629.738260362305
SGD_per_USD,1,1,2,-32641.21283205984,-32615.870146800666
SGD_per_USD,2,1,0,-32650.665334540718,-32631.657601258128
SGD_per_USD,2,1,1,-32648.885454822004,-32623.54181044522
SGD_per_USD,2,1,2,-32639.88606998772,-32608.207713413754
CNY_per_USD,0,1,0,-29745.633390153518,-29739.297239337397
CNY_per_USD,0,1,1,-29745.02108355433,-29732.349261365936
CNY_per_USD,0,1,2,-29735.58337733742,-29716.576363393044
CNY_per_USD,1,1,0,-29752.81310250201,-29740.140800869765
CNY_per_USD,1,1,1,-29740.080327918626,-29721.072594636036
CNY_per_USD,1,1,2,-29743.591926855137,-29718.249241595964
CNY_per_USD,2,1,0,-29744.92920294353,-29725.92146966094
CNY_per_USD,2,1,1,-27620.381889874123,-27595.038245497337
CNY_per_USD,2,1,2,-29739.886768716788,-29708.208412142823
