series,max_depth,learning_rate,n_estimators,subsample,cv_rmse,cv_rmse_std
SGD_per_USD,2,0.02,200,0.8,0.0034159107999977628,0.0006425882091853674
SGD_per_USD,2,0.02,200,1.0,0.0034186385115378,0.0006253860760369686
SGD_per_USD,4,0.02,200,0.8,0.003460351672492509,0.0006482881495093406
SGD_per_USD,6,0.02,200,0.8,0.003466769345761475,0.0006457271392905731
SGD_per_USD,2,0.02,400,0.8,0.0034679231835338664,0.0006453205854395613
SGD_per_USD,2,0.02,400,1.0,0.003474622412729063,0.00061950129621684
SGD_per_USD,4,0.02,200,1.0,0.003475643561863268,0.0006448235684740245
SGD_per_USD,6,0.02,200,1.0,0.0035011741053576706,0.0006619030109089712
SGD_per_USD,2,0.05,200,0.8,0.0035059687709506834,0.000649451264420269
SGD_per_USD,2,0.05,200,1.0,0.0035077434607835626,0.0006020493821483449
SGD_per_USD,6,0.02,400,0.8,0.003512654293500309,0.0006464621416461839
SGD_per_USD,4,0.02,400,0.8,0.003513858364271985,0.0006439757089097346
SGD_per_USD,4,0.02,400,1.0,0.003534112647278774,0.0006438433635181119
SGD_per_USD,6,0.05,200,0.8,0.003549090906570801,0.0006441974272326135
SGD_per_USD,4,0.05,200,0.8,0.0035503384388809118,0.0006500110281757019
SGD_per_USD,6,0.02,400,1.0,0.0035526394096019064,0.000655277043357969
SGD_per_USD,6,0.05,400,0.8,0.0035706738831167684,0.0006549534770915903
SGD_per_USD,6,0.05,200,1.0,0.003572675761765213,0.0006448008938130306
SGD_per_USD,2,0.1,200,0.8,0.0035823786395194936,0.0006417312717410294
SGD_per_USD,6,0.05,400,1.0,0.003587123241587057,0.000651905898723482
SGD_per_USD,4,0.05,200,1.0,0.003588349204802596,0.0006234786392002435
SGD_per_USD,2,0.05,400,0.8,0.003603411776363222,0.0006345461832698934
SGD_per_USD,6,0.1,200,1.0,0.0036125576946773514,0.0006623310639475316
SGD_per_USD,6,0.1,400,1.0,0.0036125582185025456,0.0006623311420845671
SGD_per_USD,2,0.05,400,1.0,0.003624435589411581,0.0005777043050714822
SGD_per_USD,4,0.05,400,0.8,0.003628069806545084,0.0006435265284156927
SGD_per_USD,2,0.1,200,1.0,0.003641117537024112,0.0005586818196559698
SGD_per_USD,6,0.1,200,0.8,0.0036620678339094248,0.0006580655983597339
SGD_per_USD,4,0.1,200,1.0,0.003664524420344663,0.0006167804421538154
SGD_per_USD,6,0.1,400,0.8,0.0036653584455248753,0.0006578189200291918
SGD_per_USD,4,0.1,200,0.8,0.003665638650406028,0.0006538779354761064
SGD_per_USD,4,0.05,400,1.0,0.0036670753555866505,0.0006130084890774315
SGD_per_USD,2,0.1,400,0.8,0.0036949628468621737,0.0006224680523858525
SGD_per_USD,4,0.1,400,1.0,0.0036991296175090055,0.0006193129911216055
SGD_per_USD,4,0.1,400,0.8,0.0037238393339966923,0.0006598719722495741
SGD_per_USD,2,0.1,400,1.0,0.003792470934500777,0.0004923028029667022
CNY_per_USD,2,0.02,200,1.0,0.0010134810835638434,0.0004865967963753624
CNY_per_USD,2,0.02,200,0.8,0.001016832567344188,0.0004880619483128167
CNY_per_USD,4,0.02,200,1.0,0.0010185220127583642,0.0004897892034191809
CNY_per_USD,4,0.02,200,0.8,0.0010199093748989026,0.0004901728991239377
CNY_per_USD,6,0.02,200,1.0,0.0010215043527115836,0.000491022125621633
CNY_per_USD,6,0.02,400,1.0,0.001022336456129112,0.000491662804352198
CNY_per_USD,4,0.02,400,1.0,0.0010230760056186216,0.0004929773571821263
CNY_per_USD,6,0.05,200,1.0,0.001023219430515436,0.0004923367397405027
CNY_per_USD,6,0.05,400,1.0,0.0010232195329090087,0.0004923368024745926
CNY_per_USD,6,0.02,200,0.8,0.0010245944071364443,0.0004931086863392063
CNY_per_USD,4,0.1,200,1.0,0.001027071894823962,0.0004941327327349607
CNY_per_USD,4,0.1,400,1.0,0.0010270718948604761,0.0004941327327586939
CNY_per_USD,4,0.05,200,1.0,0.0010285287128158024,0.0004957490093021263
CNY_per_USD,4,0.05,400,1.0,0.0010285299794036637,0.0004957499195908834
CNY_per_USD,6,0.1,400,1.0,0.0010287097720429943,0.0004948542528431315
CNY_per_USD,6,0.1,200,1.0,0.0010287097720577663,0.0004948542528581417
CNY_per_USD,6,0.02,400,0.8,0.0010339593870623807,0.0004982199965377477
CNY_per_USD,4,0.02,400,0.8,0.0010344593187235434,0.0004977455465209528
CNY_per_USD,6,0.05,200,0.8,0.0010360727390259085,0.0004999542286506681
CNY_per_USD,2,0.02,400,1.0,0.0010362891054445371,0.0005008554359292517
CNY_per_USD,6,0.05,400,0.8,0.0010385072226571416,0.0005013644393290301
CNY_per_USD,2,0.02,400,0.8,0.0010410824012361884,0.0005010553532514781
CNY_per_USD,4,0.05,200,0.8,0.0010461895320693967,0.0005039727538118887
CNY_per_USD,6,0.1,200,0.8,0.0010472101669923497,0.000505751217966987
CNY_per_USD,6,0.1,400,0.8,0.0010475702609493175,0.0005059258519669055
CNY_per_USD,4,0.05,400,0.8,0.0010522327400867269,0.0005076371527328019
CNY_per_USD,2,0.05,200,0.8,0.0010530628261049147,0.0005073142943507268
CNY_per_USD,4,0.1,200,0.8,0.0010553432320202596,0.000508778040112595
CNY_per_USD,4,0.1,400,0.8,0.0010554375881040175,0.0005091366312517145
CNY_per_USD,2,0.05,200,1.0,0.0010652474986447985,0.0005189672113746418
CNY_per_USD,2,0.05,400,1.0,0.001077981029899934,0.0005240146149103179
CNY_per_USD,2,0.05,400,0.8,0.00107854885883554,0.0005223394460193927
CNY_per_USD,2,0.1,200,1.0,0.001082033166952763,0.000528648764943477
CNY_per_USD,2,0.1,400,1.0,0.0010836547762383905,0.0005297283886763455
CNY_per_USD,2,0.1,200,0.8,0.0011021821581052873,0.0005348745755132938
CNY_per_USD,2,0.1,400,0.8,0.0011224022287129867,0.0005469369112008559
